股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因
3443,main,20221208,763.00,20221226,698.00,18,-8.96%,"NT$-7,464",停損
6643,backup,20221223,504.00,20221230,457.00,7,-9.77%,"NT$-8,135",停損
3693,backup,20221230,114.00,20230105,105.50,6,-7.90%,"NT$-6,574",停損
3693,backup,20230109,104.50,20230208,125.50,30,+19.65%,"NT$+16,371",停利
6472,main,20221208,387.50,20230214,477.00,68,+22.65%,"NT$+18,813",停利
2731,backup,20221223,102.50,20230222,126.00,61,+22.48%,"NT$+18,717",停利
5258,backup,20230210,76.80,20230313,90.50,31,+17.40%,"NT$+14,490",停利
5904,backup,20230113,527.00,20230324,560.00,70,+5.82%,"NT$+4,822",停利
2388,backup,20230317,89.80,20230329,83.30,12,-7.68%,"NT$-6,396",停損
6491,backup,20230109,425.50,20230410,413.50,91,-3.26%,"NT$-2,711",到期
3558,backup,20230310,335.50,20230413,310.00,34,-8.04%,"NT$-6,702",停損
8478,main,20230411,525.00,20230419,453.00,8,-14.16%,"NT$-11,760",停損
6472,main,20230223,510.00,20230420,789.00,56,+54.26%,"NT$+45,173",停利
6290,backup,20230310,69.00,20230420,63.80,41,-7.98%,"NT$-6,649",停損
6719,main,20230328,307.50,20230421,330.50,24,+7.04%,"NT$+5,851",停利
3680,main,20230330,365.50,20230421,339.00,22,-7.69%,"NT$-6,392",停損
4763,main,20230420,465.00,20230425,427.50,5,-8.51%,"NT$-7,051",停損
1752,backup,20230508,77.50,20230511,70.20,3,-9.86%,"NT$-8,213",停損
8155,backup,20230512,141.00,20230516,131.00,4,-7.53%,"NT$-6,277",停損
1752,backup,20230512,69.00,20230531,64.10,19,-7.54%,"NT$-6,287",停損
3675,main,20230414,290.00,20230601,313.50,48,+7.66%,"NT$+6,363",停利
3693,backup,20230428,178.50,20230626,305.00,59,+70.43%,"NT$+58,664",停利
8046,main,20230601,298.50,20230626,275.00,25,-8.32%,"NT$-6,910",停損
5243,backup,20230609,85.50,20230627,79.00,18,-8.04%,"NT$-6,702",停損
1795,main,20230525,331.00,20230703,299.00,39,-10.11%,"NT$-8,412",停損
2748,backup,20230630,92.20,20230710,84.60,10,-8.69%,"NT$-7,233",停損
4747,backup,20230616,88.70,20230721,108.00,35,+21.32%,"NT$+17,761",停利
4763,main,20230720,806.00,20230801,850.00,12,+5.02%,"NT$+4,171",停利
5258,backup,20230627,106.50,20230802,123.50,36,+15.52%,"NT$+12,927",停利
3035,main,20230727,331.00,20230802,281.00,6,-15.55%,"NT$-12,936",停損
4763,main,20230802,841.00,20230810,750.00,8,-11.26%,"NT$-9,296",停損
1519,backup,20230811,211.50,20230814,192.50,3,-9.43%,"NT$-7,846",停損
3035,main,20230804,281.50,20230818,328.00,14,+16.08%,"NT$+13,369",停利
2645,backup,20230818,114.50,20230905,123.50,18,+7.42%,"NT$+6,175",停利
2645,backup,20230908,127.50,20230912,117.00,4,-8.68%,"NT$-7,224",停損
6829,backup,20230908,140.00,20230912,130.00,4,-7.59%,"NT$-6,317",停損
4572,backup,20230811,188.50,20230913,171.00,33,-9.73%,"NT$-8,097",停損
6829,backup,20230915,122.50,20230921,111.50,6,-9.42%,"NT$-7,848",停損
3653,backup,20230915,620.00,20231026,563.00,41,-9.64%,"NT$-8,017",停損
2059,main,20231019,805.00,20231030,744.00,11,-8.02%,"NT$-6,659",停損
6533,main,20231102,396.50,20231204,467.00,32,+17.34%,"NT$+14,388",停利
5439,backup,20231110,122.50,20231211,138.50,31,+12.62%,"NT$+10,511",停利
3592,main,20230921,364.00,20231220,391.50,90,+7.11%,"NT$+5,911",到期
8016,main,20230921,284.50,20231220,279.00,90,-2.38%,"NT$-1,976",到期
6789,main,20231212,291.00,20231225,267.50,13,-8.52%,"NT$-7,075",停損
2059,main,20231031,702.00,20240104,862.00,65,+22.35%,"NT$+18,540",停利
6719,backup,20240112,292.00,20240118,271.50,6,-7.46%,"NT$-6,198",停損
3675,backup,20231229,268.50,20240119,247.50,21,-8.26%,"NT$-6,866",停損
1560,backup,20231110,171.00,20240215,238.00,97,+38.74%,"NT$+32,240",到期
6531,main,20240122,526.00,20240215,483.50,24,-8.52%,"NT$-7,093",停損
3035,main,20240119,430.00,20240221,380.00,33,-12.07%,"NT$-10,032",停損
1519,main,20231221,318.50,20240227,528.00,68,+65.33%,"NT$+54,389",停利
3324,main,20231205,340.50,20240304,572.00,90,+67.55%,"NT$+56,198",到期
6515,main,20240105,789.00,20240308,731.00,63,-7.79%,"NT$-6,466",停損
6462,main,20240307,265.50,20240313,231.00,6,-13.44%,"NT$-11,182",停損
2376,main,20240222,347.00,20240314,317.50,21,-8.94%,"NT$-7,428",停損
5284,backup,20240315,193.00,20240402,172.50,18,-11.06%,"NT$-9,217",停損
3013,backup,20240315,48.20,20240403,63.90,19,+32.13%,"NT$+26,768",停利
6409,backup,20240322,1635.00,20240403,1520.00,12,-7.48%,"NT$-6,120",停損
3406,main,20240307,401.50,20240408,468.50,32,+16.24%,"NT$+13,520",停利
5274,backup,20240409,3225.00,20240422,2980.00,13,-8.04%,"NT$-6,491",停損
1795,main,20240411,325.00,20240506,300.00,25,-8.13%,"NT$-6,778",停損
4994,backup,20240329,115.00,20240508,127.50,40,+10.43%,"NT$+8,682",停利
2404,main,20240426,408.00,20240510,375.00,14,-8.53%,"NT$-7,076",停損
2739,backup,20240510,69.40,20240514,63.40,4,-9.09%,"NT$-7,573",停損
3680,main,20240221,421.00,20240521,412.00,90,-2.58%,"NT$-2,143",到期
6231,main,20240620,381.50,20240704,396.50,14,+3.49%,"NT$+2,906",停利
3413,main,20240516,313.00,20240712,364.00,57,+15.85%,"NT$+13,167",停利
8996,main,20240523,478.00,20240715,409.00,53,-14.88%,"NT$-12,392",停損
6515,backup,20240510,844.00,20240716,1010.00,67,+19.23%,"NT$+15,925",停利
6895,backup,20240719,251.50,20240722,226.50,3,-10.38%,"NT$-8,630",停損
1519,backup,20240712,907.00,20240726,775.00,14,-15.00%,"NT$-12,395",停損
8147,backup,20240719,148.00,20240726,137.50,7,-7.54%,"NT$-6,278",停損
8147,backup,20240730,131.50,20240805,116.50,6,-11.85%,"NT$-9,862",停損
2739,backup,20240809,60.00,20240904,55.00,26,-8.78%,"NT$-7,308",停損
8467,backup,20240809,204.00,20240910,245.50,32,+19.90%,"NT$+16,547",停利
5274,backup,20240906,4845.00,20240910,4475.00,4,-8.08%,"NT$-6,664",停損
5904,main,20240620,526.00,20240918,538.00,90,+1.84%,"NT$+1,530",到期
6515,main,20240829,1175.00,20240923,1280.00,25,+8.49%,"NT$+6,996",停利
6446,main,20240822,695.00,20240926,635.00,35,-9.08%,"NT$-7,517",停損
6890,backup,20240923,375.00,20241015,348.00,22,-7.64%,"NT$-6,343",停損
3081,main,20241011,352.00,20241028,324.00,17,-8.40%,"NT$-6,986",停損
3583,main,20241017,492.50,20241028,449.00,11,-9.27%,"NT$-7,685",停損
6415,backup,20241104,507.00,20241113,466.50,9,-8.43%,"NT$-7,020",停損
6805,backup,20241104,857.00,20241115,785.00,11,-8.84%,"NT$-7,362",停損
3013,backup,20241025,162.50,20241118,147.00,24,-9.98%,"NT$-8,316",停損
3443,main,20241114,1230.00,20241220,1350.00,36,+9.31%,"NT$+7,686",停利
3081,main,20241127,334.00,20250207,490.00,72,+46.26%,"NT$+38,531",停利
3491,main,20241219,322.00,20250207,401.50,50,+24.25%,"NT$+20,172",停利
2404,main,20241128,413.00,20250214,448.00,78,+8.03%,"NT$+6,677",停利
6223,main,20241226,889.00,20250227,781.00,63,-12.59%,"NT$-10,425",停損
6643,main,20250303,763.00,20250307,707.00,4,-7.78%,"NT$-6,481",停損
2383,main,20241219,617.00,20250310,571.00,81,-7.90%,"NT$-6,539",停損
4763,main,20250313,1065.00,20250314,959.00,1,-10.40%,"NT$-8,648",停損
3491,main,20250210,401.50,20250324,441.00,42,+9.40%,"NT$+7,820",停利
3563,main,20250320,585.00,20250326,537.00,6,-8.65%,"NT$-7,194",停損
3592,main,20250210,392.50,20250327,363.00,45,-7.96%,"NT$-6,632",停損
6643,main,20250310,715.00,20250328,646.00,18,-10.09%,"NT$-8,383",停損
8299,main,20250113,471.00,20250331,526.00,77,+11.23%,"NT$+9,326",停利
4763,main,20250320,955.00,20250331,859.00,11,-10.49%,"NT$-8,732",停損
3563,main,20250327,523.00,20250331,470.50,4,-10.48%,"NT$-8,728",停損
7722,main,20250331,630.00,20250407,565.00,7,-10.76%,"NT$-8,961",停損
3147,backup,20250505,284.00,20250512,252.00,7,-11.71%,"NT$-9,758",停損
3147,backup,20250516,235.00,20250527,214.00,11,-9.38%,"NT$-7,813",停損
7722,main,20250408,509.00,20250602,567.00,55,+10.95%,"NT$+9,100",停利
2745,backup,20250516,128.00,20250606,117.50,21,-8.65%,"NT$-7,203",停損
2615,backup,20250602,110.00,20250606,101.50,4,-8.17%,"NT$-6,804",停損
3324,main,20250528,564.00,20250619,640.00,22,+13.03%,"NT$+10,821",停利
2615,backup,20250606,101.50,20250626,93.50,20,-8.32%,"NT$-6,930",停損
4749,main,20250620,635.00,20250707,588.00,17,-7.84%,"NT$-6,534",停損
6919,main,20250703,1330.00,20250708,1165.00,5,-12.85%,"NT$-10,610",停損
7718,backup,20250505,49.30,20250710,45.40,66,-8.35%,"NT$-6,957",停損
6023,backup,20250418,80.70,20250717,82.90,90,+2.28%,"NT$+1,903",到期
2753,backup,20250425,181.50,20250724,188.00,90,+3.14%,"NT$+2,613",到期
3131,main,20250718,1650.00,20250724,1530.00,6,-7.72%,"NT$-6,374",停損
1560,main,20250724,345.50,20250801,313.50,8,-9.70%,"NT$-8,058",停損
3131,main,20250725,1540.00,20250804,1415.00,10,-8.56%,"NT$-7,128",停損
6191,backup,20250606,79.10,20250806,109.00,61,+37.36%,"NT$+31,131",停利
6805,main,20250708,792.00,20250820,1000.00,43,+25.82%,"NT$+21,503",停利
6223,main,20250723,1055.00,20250820,1120.00,28,+5.72%,"NT$+4,713",停利
8210,main,20250807,530.00,20250902,570.00,26,+7.10%,"NT$+5,920",停利
5536,main,20250807,543.00,20250903,854.00,27,+56.83%,"NT$+47,283",停利
3131,main,20250805,1390.00,20250926,1485.00,52,+6.39%,"NT$+5,250",停利
3563,main,20250918,554.00,20250926,514.00,8,-7.66%,"NT$-6,377",停損
6510,main,20250916,1385.00,20251003,1785.00,17,+28.44%,"NT$+23,666",停利
6531,main,20250925,324.00,20251013,360.50,18,+10.82%,"NT$+8,990",停利
3406,main,20250821,440.50,20251014,406.00,54,-8.27%,"NT$-6,862",停損
7747,backup,20251007,141.50,20251029,131.50,22,-7.51%,"NT$-6,257",停損
3709,backup,20251017,50.00,20251029,44.50,12,-11.44%,"NT$-9,534",停損
6515,backup,20251007,2125.00,20251105,2415.00,29,+13.20%,"NT$+10,959",停利
8996,main,20251023,505.00,20251111,579.00,19,+14.21%,"NT$+11,786",停利
5274,backup,20251014,5285.00,20251202,6600.00,49,+24.44%,"NT$+19,402",停利
6442,main,20251205,1185.00,20251217,1215.00,12,+2.09%,"NT$+1,735",停利
